x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
12.026885369339169 m,12.233578861579389 m,11.892183271211096 m,12.350352747527602 m,13.14242803510841 m,14.549372008208735 m,15.69012515487924 m,16.433046727020226 m,15.937154757679735 m,14.246061959878531 m,13.007579077911814 m,11.242483233617186 m,11.16509835636029 m,10.938824791838456 m,9.949508439253279 m,10.331912072749574 m,9.475626092801079 m,9.812627631871507 m,9.72303525517426 m,9.937532932209344 m,10.204167051600251 m,10.804620027981422 m,11.456704633235375 m,11.026430662518791 m,11.269177264522284 m,11.711520792179265 m,12.34555395889484 m,13.708755115164443 m,14.762493090771237 m,15.799112405641054 m,16.068928371061133 m,16.88804996697698 m,16.74208718007634 m,16.662657155526993 m,16.152462796305755 m,15.673819001388352 m,15.463266456686597 m,15.10886177270855 m,14.925790199676797 m,14.564914459418667 m,14.730171126640457 m,14.787052962422884 m,15.162111588896494 m,15.214275692293427 m,15.26667795051874 m,14.74923069950838 m,14.98905596954301 m,14.336648647501889 m,13.569207903926603 m,13.90168266279106 m,13.893151778532037 m,14.278060187927679 m,15.049380710071652 m,16.31278053256466 m,16.98906503150787 m,17.67830396616402 m,18.08162855631921 m,17.627496602673716 m,16.744847367737044 m,15.579932069879547 m,14.829462174852367 m,14.19436343751866 m,13.042562685307665 m,12.363990776258511 m,11.646020892071192 m,10.666177858019132 m,9.80844826086117 m,10.229385039238423 m,10.023457893128736 m,10.400686085793453 m
13.124867878384887 m,13.442797881625669 m,13.458696800046983 m,13.964319577592303 m,14.654612929624438 m,16.135607472727767 m,17.89941418411104 m,18.617393980881143 m,18.59069254983832 m,17.806819658214007 m,17.12393958769501 m,16.10949467371025 m,15.504972692638223 m,14.475723704109772 m,13.680150288653824 m,13.752425914653887 m,13.129240459354275 m,12.486612171816308 m,12.247286393738523 m,12.372697493727753 m,12.900370655817628 m,13.272187798786948 m,13.513699561159388 m,13.850349352514403 m,13.92960135371072 m,14.376338486303542 m,14.978238366370181 m,16.06002410129378 m,16.87355020936251 m,18.07066093614021 m,18.378916946072234 m,18.604496667581785 m,18.52017430125937 m,18.50728282701783 m,18.30823353536511 m,17.994136115656318 m,18.127288612452304 m,18.05169179645864 m,18.019837037207683 m,17.65128827153035 m,17.693324388634895 m,17.41539589784271 m,17.998808768416282 m,18.49807557941613 m,18.07399414188901 m,17.762189793088144 m,17.50866509367567 m,17.307035497097335 m,16.758786237561868 m,16.626545520742642 m,16.968910084407074 m,17.476471444073926 m,18.474206149651458 m,19.434773055084314 m,20.29873973091651 m,20.64504320430034 m,20.60266269299381 m,20.42496643558866 m,19.518579589169626 m,18.085007510448968 m,17.177609654401923 m,16.116672880213148 m,15.098964846431233 m,14.312489838585034 m,13.50823960669685 m,12.639638956716222 m,11.481244455521573 m,12.203552052706197 m,11.870120923339325 m,12.318450179244781 m
14.479290737687194 m,15.207351305101305 m,14.923551869792412 m,15.757912217507794 m,16.48747382298607 m,17.938973640794586 m,20.245118539024336 m,21.428230389327783 m,22.087592247615614 m,21.801657406712614 m,21.002512734959726 m,20.385161270890816 m,19.31814957367862 m,18.101782471610505 m,17.827368724832795 m,18.076511412154034 m,17.383643223534357 m,16.562297276611396 m,15.663958570208436 m,15.724541818494856 m,16.57629034836087 m,16.852453503504663 m,16.860518510340242 m,16.822654974297194 m,17.208782234270487 m,17.508599019364567 m,17.773186682827728 m,19.11129476974624 m,20.070367421394426 m,20.45073212605643 m,20.37082644909783 m,20.614493704388405 m,21.00342078912894 m,20.966720266628418 m,20.974982258577707 m,20.693128704578122 m,21.034875731719264 m,21.16319429711018 m,21.790845343759326 m,20.960129062321197 m,21.242768167833372 m,21.105998248177507 m,21.351703404946 m,21.968171562338608 m,21.936770898484752 m,21.106760668776964 m,21.003177580758912 m,20.946587929375813 m,20.24525152850334 m,19.736691551995264 m,20.349909315611775 m,21.340195154013983 m,22.079121489441157 m,22.39781927728911 m,23.168090385372135 m,23.66919412590279 m,23.32258285643682 m,22.502927242197174 m,21.80303525743975 m,20.7027275221051 m,19.92414329629578 m,18.790233787980654 m,17.461645746374018 m,16.582105497357503 m,15.252187747627666 m,14.65658141160965 m,14.022666799156319 m,13.854990661504303 m,13.680595355387013 m,13.703966357201509 m
15.71765491904738 m,16.36350714870161 m,16.684156842465047 m,17.392135376621045 m,18.228164814848153 m,20.21238717644531 m,22.65548038841383 m,24.07861262408996 m,25.18915685386678 m,25.193551694213287 m,24.451951632383885 m,23.66921906137106 m,22.519895130446887 m,21.221294291244927 m,21.266794269920645 m,20.931576538128365 m,21.00259237952056 m,20.20097667923686 m,19.831277463079566 m,20.151600772593326 m,20.83574518121906 m,21.399478138585486 m,20.75337362387134 m,20.15287113760488 m,20.671787410830103 m,20.484278490815765 m,20.661643827743994 m,21.834122865237227 m,22.435057659573918 m,22.94369196137446 m,23.295147784823538 m,22.715515496567775 m,23.109932305774613 m,23.696771029159873 m,23.532491605547957 m,23.692167325934182 m,24.178536124105978 m,24.3901228065858 m,24.811237548602637 m,24.336360232032888 m,24.583088103504608 m,24.671675264003387 m,24.824979114459 m,25.129406120666648 m,24.80715308322747 m,24.60282177407751 m,24.625387818719872 m,24.237685376352037 m,23.524745172022993 m,23.178931002167882 m,23.443000224867326 m,24.39953299894415 m,25.0653851292522 m,25.68597728976454 m,25.88760862181442 m,26.099900633410755 m,26.021368195764396 m,25.150830629983993 m,24.169544870682873 m,23.359563815136173 m,22.159807229720762 m,20.87066173763576 m,19.210162717566178 m,18.61472744694903 m,17.295544677596876 m,16.776183551577798 m,16.654363425827395 m,15.908158230926194 m,15.79762996553944 m,15.842475278114737 m
18.16571471442151 m,18.99278939145045 m,19.360942063025647 m,19.72455499274473 m,20.56092042440611 m,22.92285225734263 m,25.228557571959325 m,27.075259698864397 m,28.164448928676613 m,28.433286933945134 m,27.382304600002836 m,26.368205335798624 m,25.380056989376083 m,24.447726827306504 m,24.180183245336252 m,23.770831893942873 m,24.017909484739018 m,23.64844163610274 m,23.601700021259575 m,24.064160694136852 m,24.432391786437183 m,24.748184850703446 m,24.565245594869683 m,24.294676022493285 m,23.92754961484897 m,22.998946552726707 m,23.15194219207011 m,24.076545940634585 m,24.915069864190304 m,25.40280629543489 m,25.794815850858907 m,25.148759418262195 m,25.277954407400102 m,25.828798804382576 m,25.864936639600995 m,26.35365528065782 m,26.48385910018721 m,26.97983347197082 m,27.131592539488867 m,27.263779027152317 m,27.070621984605467 m,27.074984787012145 m,26.87773993617407 m,26.97158514079331 m,26.94772906504306 m,26.862499323065116 m,26.922830843208505 m,27.051280462286805 m,26.332368926189325 m,26.586790991913304 m,26.585404850515012 m,26.810065960714272 m,27.46580998999916 m,27.545744465135737 m,27.7979192708443 m,28.379798655526503 m,28.071206897481375 m,27.49132772602919 m,26.614639429245564 m,24.895553502675632 m,23.884841890161823 m,22.56155353437056 m,21.12947698399678 m,20.011532507752054 m,19.32269340497148 m,19.019807666567274 m,19.020618058484203 m,18.740300627282586 m,17.744357405569254 m,17.82032452878982 m
20.73793724998577 m,21.482768960769558 m,21.947283172557416 m,22.339127621564508 m,23.67834549640696 m,25.686688690256673 m,27.458466770567277 m,29.112192839862843 m,30.093010806146964 m,30.031176053632652 m,29.802401072107234 m,28.964843933299598 m,28.19085080584556 m,27.688375582990822 m,27.710958643563146 m,27.405890495754264 m,27.12566946134722 m,26.97956083695016 m,26.687773779109673 m,26.977759468265596 m,27.75154882543847 m,27.48113808257727 m,27.455797805643957 m,27.064737694359685 m,26.399390545534256 m,25.405357786382947 m,25.325054343596793 m,26.489518176730865 m,27.123218540405706 m,28.123719587133568 m,28.339743424824036 m,27.462539048154753 m,27.89085850013882 m,28.162028864020613 m,28.444757443331024 m,28.692237824440177 m,28.947283724191134 m,29.322280156768777 m,29.303556871315696 m,29.209124592677085 m,29.193862105365596 m,28.94404089539625 m,29.1094285786697 m,28.750363191031497 m,28.670137592534754 m,28.85366189164785 m,29.300549407782754 m,29.201582500825797 m,28.614201497565308 m,28.719525870991177 m,28.692004361288152 m,28.575707950345727 m,28.58505154692071 m,28.877578195663087 m,29.205967686333672 m,29.510213043923656 m,29.29036621655854 m,28.794002429426104 m,28.24253354378628 m,26.95495139088984 m,25.991281752000386 m,24.95040427311599 m,23.508265535760824 m,22.23993446636552 m,21.49564803951847 m,21.325516202090956 m,21.62531069359992 m,20.27131807755805 m,19.90680647651951 m,19.976396425487838 m
23.43568012632888 m,23.878025219227847 m,24.68053777820748 m,25.363351165130105 m,26.65521914930319 m,28.305162301691116 m,29.497631535670223 m,30.468320519578217 m,31.748667202586642 m,31.857855493940185 m,31.75718178689618 m,30.714959546237964 m,30.22989874217304 m,30.213316514267646 m,29.871165922733034 m,29.742019937855197 m,29.389123101789174 m,29.02509077413146 m,29.303363113769404 m,29.65833643134592 m,29.90390492061406 m,29.37226936819932 m,28.788456586605204 m,28.39396619329244 m,28.09303546184876 m,27.4176589331333 m,27.800923937253792 m,28.316100127784274 m,29.26878173522587 m,30.171952603196992 m,30.370782309712098 m,30.353113235294124 m,30.40993885467292 m,30.493335765664956 m,30.925136426405164 m,31.23383848347137 m,31.32997291026863 m,31.36808173733933 m,31.309013221493313 m,31.66532355773652 m,31.75302084027 m,31.684970545834243 m,31.586552584279502 m,30.92121560382269 m,30.714677130256327 m,31.12391694931104 m,31.69445895246909 m,31.31837613240151 m,30.322047550316267 m,30.16900632366627 m,30.240607911195532 m,29.707622542444756 m,29.295385597051073 m,29.622659719543897 m,30.003191657366873 m,30.102813160239382 m,30.297208562430143 m,30.22549885050721 m,29.698680475868397 m,28.75000363428445 m,28.458628908689445 m,27.61774884460928 m,26.329888778601 m,24.995435702101926 m,24.15688686233134 m,24.011331417616294 m,23.708514106909906 m,23.571091829262446 m,23.063352175006095 m,23.16043490829948 m
26.269268383850537 m,26.466206950537256 m,26.83146372741998 m,27.72999627941136 m,28.704551049789853 m,29.844494806661157 m,30.827904185052077 m,32.05186919572306 m,32.83598822840773 m,33.109166942837646 m,32.81952258534561 m,32.35469141484042 m,31.94933838530581 m,31.46470756741997 m,31.464368172722757 m,31.189230219328753 m,31.180863375334205 m,31.259359404511393 m,31.183459734139944 m,31.440499554523647 m,31.596174864731644 m,30.95868075936859 m,30.39143237093412 m,29.87425244248854 m,29.75535226892615 m,29.46591877375503 m,29.813170259280636 m,30.284348013143415 m,31.295372947753677 m,31.922346517024657 m,32.29069369899446 m,32.663000519307175 m,32.87071726544081 m,32.98553614530432 m,33.36913289851947 m,33.32932631119564 m,33.56272820407453 m,33.70584619856679 m,33.52525698899899 m,33.61566082264364 m,33.784212221844435 m,33.75577639252488 m,33.3511748095645 m,33.06900875764707 m,33.01102918586363 m,33.634101671138154 m,33.757917386333176 m,33.04987744020218 m,32.07544636404123 m,31.57173602284124 m,31.340753014851316 m,30.820546548835264 m,30.219884984375046 m,30.694693556363774 m,30.812471704303352 m,31.015013103105986 m,31.317018936345455 m,31.21769445552809 m,30.958460474786733 m,30.9779842437649 m,31.115887145318464 m,30.599793087488806 m,28.96392201354925 m,27.59910140535216 m,26.718989492052266 m,26.239678890443404 m,26.031959310832406 m,26.25732598327726 m,26.20187034352346 m,26.0733444856285 m
29.52788923786152 m,29.572817747018544 m,29.651805055874338 m,30.44660466907222 m,31.223228141921727 m,31.859276554235816 m,32.76741637437574 m,34.05606858281661 m,34.61769954391305 m,34.29573381853339 m,33.71572359113442 m,33.60038628196516 m,33.26493277193923 m,32.9677157316737 m,32.572779044953 m,32.83832601212734 m,32.758719291367555 m,32.87653929373515 m,32.793669422472476 m,32.661584738512275 m,32.68137409301906 m,32.22262080733013 m,31.871717424251493 m,31.673102778355712 m,31.731204684446006 m,31.56050184365153 m,31.534105067691865 m,31.85809270132732 m,32.49337281476548 m,33.202016246276656 m,33.918834681813465 m,34.35804620720148 m,34.92294935112545 m,35.427579823700455 m,35.49860580137198 m,35.54875751609305 m,35.68417095093535 m,35.881952623250626 m,35.82094148801254 m,35.74403959272867 m,35.46275204031289 m,35.78341931458306 m,35.62269020991108 m,35.3000607255797 m,35.57379824606701 m,35.78431509416086 m,35.68746638641154 m,34.78943773888581 m,33.907662966295376 m,33.19036420311309 m,32.896467254150366 m,32.41039488204552 m,31.72651870543954 m,31.490633238800623 m,31.789493270953972 m,32.24987951938394 m,32.56669304554069 m,32.59409641860409 m,33.17911498679319 m,33.33563134113578 m,33.43543152739333 m,32.78546882045431 m,31.574966491789997 m,30.194310433708026 m,29.398457965017826 m,28.852922883142714 m,28.912798488399527 m,29.101587120352246 m,29.290740729614072 m,29.199165337254588 m
31.685059518294402 m,32.035636523948995 m,31.984350922557546 m,32.92237922498909 m,33.4731323852954 m,33.71908898079975 m,34.71349123015872 m,35.67177389472408 m,35.73319507148179 m,35.50956053178902 m,35.394559501999396 m,35.097532652349265 m,34.674829735790084 m,34.156278811728555 m,33.88388141328265 m,33.793356555560194 m,33.9974374425307 m,33.97714147510007 m,34.028859900877194 m,34.379331983685745 m,33.9363239930953 m,33.71923011895427 m,33.68659305092733 m,33.55196434882426 m,33.43300005517682 m,33.34128133399955 m,33.464350763191405 m,33.640811756704075 m,34.12390769970683 m,34.63731949041271 m,35.3124940950368 m,35.952909781863525 m,36.261571320227546 m,36.52657100888418 m,37.0798746669543 m,37.331281267295175 m,37.830842621207886 m,37.77718550061289 m,37.58761209605764 m,37.57229812656364 m,37.619219594108856 m,37.70259089331043 m,37.64451357954823 m,37.576560620071646 m,37.87739359814293 m,37.636557358042495 m,37.52689903901964 m,37.05590894482472 m,35.860758010726414 m,35.1644530993616 m,34.79505130437276 m,34.234515471211495 m,33.37037783791658 m,33.32562049667506 m,33.341175852493635 m,33.80141981868911 m,34.18569183442 m,34.56730761837669 m,35.25365342347773 m,35.40587723656695 m,35.63330778769537 m,34.98666798668282 m,33.84300983143277 m,32.47281368845978 m,31.50083009404253 m,31.655492218848998 m,31.427556623335054 m,31.488595304308067 m,31.826839219888505 m,31.76689972360013 m
33.93816114900763 m,34.299299090447796 m,34.565600038083176 m,35.15135035525615 m,35.22017438828796 m,35.51641800923902 m,36.247810339545396 m,36.95800351322494 m,37.157042121457486 m,37.14542594575032 m,37.12189800928455 m,36.85151198489531 m,36.154672164692215 m,35.703399970847215 m,35.65594016827161 m,35.39000592285447 m,35.45762081554035 m,35.221122143832275 m,35.64102736600464 m,35.546144434218675 m,35.3001537747403 m,35.499150640654335 m,35.50336681726941 m,35.67686855892289 m,35.40905741456645 m,35.17482988694901 m,35.144915430965 m,35.232836826769685 m,35.696633416990565 m,35.99969963095932 m,36.59937188139823 m,37.20736372419092 m,37.6328733152598 m,37.871398324198 m,38.1469033468011 m,38.82391759391756 m,39.42363413340745 m,39.544280028643044 m,39.6308879212218 m,39.69290032089148 m,39.55537331627589 m,39.321242772566606 m,39.62335699667072 m,39.65488802544343 m,39.48614170285168 m,39.19728553624208 m,38.84303298064481 m,38.59465790058964 m,37.7591504745332 m,37.158897275686684 m,36.231240710832 m,35.55111822927871 m,35.11820468423983 m,35.136379381532876 m,35.185788119351336 m,35.19984188486057 m,36.03532018557515 m,36.37770228012302 m,36.717382374757406 m,36.98655500009403 m,37.07476814063447 m,36.637502152321616 m,35.86849351060173 m,34.7396234163577 m,34.133940106616656 m,33.89288394313821 m,33.81703271542753 m,33.69370966872769 m,33.80461517370984 m,33.90893177355356 m
35.43090935821135 m,35.920488486221245 m,36.48561550000326 m,37.09436128278705 m,37.552537150925 m,37.54389947637824 m,38.00333951879179 m,38.642480918268845 m,38.95244746506282 m,38.93835559051302 m,38.72580559419428 m,38.09771558675594 m,37.62037748460806 m,37.226354240711004 m,37.22916467181289 m,37.01355742171147 m,37.03842275298214 m,37.09434895823531 m,37.34653445838823 m,37.08104321143736 m,37.1357547239258 m,37.14280555256117 m,37.07750750747607 m,37.278331823235035 m,37.37149373065333 m,37.25268753157152 m,37.028466457919464 m,36.90702603140572 m,37.111826834020775 m,37.490129966564524 m,37.75436015253003 m,38.1644734072441 m,38.657910940815995 m,38.60621614700686 m,38.98119066478097 m,39.91932557998801 m,40.49262008975583 m,40.6428778043326 m,40.847808100538366 m,40.59309938262298 m,40.6062907266487 m,40.65121895836157 m,41.24052887210554 m,41.023521319184866 m,40.79867211032682 m,40.28594822874047 m,40.40282134814673 m,40.20320426800496 m,39.689789003818206 m,38.894927360058084 m,37.83650062465209 m,37.140054458633315 m,37.21953024942039 m,37.26008554012669 m,37.243133700518385 m,37.0370638300824 m,37.43188411371337 m,37.444349058206456 m,37.78767044544868 m,38.275838994464 m,38.235331880478 m,38.41773977674518 m,37.83318383659538 m,36.885587898714576 m,36.404913938878956 m,35.9893928656939 m,35.784927363028984 m,35.71402695679372 m,35.42613197785199 m,35.58356641802801 m
37.284211770337336 m,37.38685057434293 m,37.89683568811594 m,38.593703493326075 m,39.06656117290625 m,39.11567513749001 m,39.3189443418674 m,40.13415705491289 m,40.39491583140641 m,40.476150056851225 m,40.153890043172275 m,39.5280756802309 m,38.979733997544415 m,38.450354340345115 m,38.36742982691224 m,38.450419858012935 m,38.57799175340955 m,38.8057357940661 m,38.80769480721116 m,38.89872017984165 m,38.669172166162994 m,38.768405486463976 m,38.904768773391034 m,38.7878857077303 m,39.04366772347168 m,39.05523415229007 m,38.728863012505194 m,38.89350570380901 m,38.584616029937905 m,38.65685608113978 m,38.85670011631936 m,38.91083187641705 m,39.34908313925483 m,39.49785739575235 m,39.948644299265894 m,40.756400252958336 m,41.31620087969476 m,41.28108527115948 m,41.47391800612668 m,41.07177375555523 m,40.913156118874646 m,41.46541972256193 m,42.08021307975966 m,41.942502473260575 m,41.620720949384754 m,41.231890872030995 m,40.83811079604528 m,40.59180898746979 m,40.8827967639494 m,40.14964951452821 m,39.73908063103059 m,39.34926699120487 m,39.00055669921112 m,39.24126896124058 m,39.26830475055124 m,39.33992651982999 m,39.13882166967615 m,39.13674118593603 m,39.1147860432274 m,39.13855316366774 m,39.35304347778808 m,39.663342090436025 m,39.49963662676193 m,38.95190863655011 m,38.32879406047472 m,37.77779313950235 m,37.32529507933362 m,37.185254793060516 m,37.47666039573094 m,37.43890943290381 m
38.856161433682885 m,39.004262363568344 m,39.21833578954546 m,39.90250803953972 m,40.31998991951705 m,40.344216538828945 m,40.645217200879884 m,41.30699277639763 m,41.708464206982825 m,41.599621333069805 m,41.452874319371716 m,40.627449051047776 m,39.898268117087625 m,39.552908851235145 m,39.786000418138016 m,39.85306398911899 m,40.089082309079785 m,39.99200406667465 m,40.09844989955467 m,40.19969167206513 m,39.98649750451909 m,40.42718936724377 m,40.84549216334072 m,40.537895496740774 m,40.59027035216195 m,40.618497276259326 m,40.31697228542531 m,40.581801125698554 m,40.07319271856653 m,39.858802763434305 m,39.48189626015893 m,39.673307989300795 m,40.20728284555112 m,40.328230494574754 m,40.90600993835675 m,41.477557616048 m,42.0298687211011 m,41.711525972120235 m,42.03269167421282 m,41.91340354253987 m,41.63216818391152 m,42.06416708832341 m,42.455650359854076 m,42.09636594365098 m,42.356812554822554 m,41.99220076721053 m,41.859641698233794 m,41.73073166576864 m,42.138419014699394 m,41.62955798167654 m,41.30342727185096 m,41.19151711250379 m,40.96340424756295 m,41.0352035209293 m,41.04058677813198 m,41.000344993838326 m,40.978724343711946 m,40.89517153978942 m,40.64077393756364 m,40.64726466307097 m,40.45508871313487 m,40.51555352748294 m,40.529186674332145 m,40.39113603373036 m,39.918573826320156 m,39.615628186731065 m,38.791268848448986 m,38.5072726401175 m,39.02606912167896 m,39.0568415880954 m
40.412684095899195 m,40.391497258460305 m,41.09827956552314 m,41.54454708008046 m,41.56227895860154 m,41.637876844463705 m,41.66026915348624 m,42.072536233774215 m,42.45824241283888 m,42.44293278933744 m,42.33532480934615 m,41.74146587463982 m,41.22024903455339 m,41.266106563451785 m,41.4687227865628 m,41.290159575322406 m,41.247691323658735 m,41.36436536079748 m,41.27710982739778 m,41.12797862423203 m,41.73665085509533 m,41.7871998161793 m,41.95113242456906 m,41.87371966804978 m,41.97149642748685 m,41.81538929975965 m,41.74498776892166 m,41.983095812410625 m,41.872404138654694 m,41.21157485566248 m,40.812613984570056 m,40.46389887146617 m,40.90043728461162 m,41.09050448726837 m,42.011005580892814 m,42.36132521551583 m,42.641667730998016 m,42.822068106899216 m,42.854987428119536 m,42.87498520223683 m,42.86092505926765 m,42.64133642424135 m,42.615410002766566 m,42.57109153693099 m,42.4665637467446 m,42.534723410108356 m,42.64147957204014 m,42.59341527878237 m,42.65327677312446 m,42.51013791728529 m,42.12476207852275 m,42.39162062040436 m,42.452639759147715 m,42.379508759481496 m,42.46993933148853 m,42.21816456937468 m,42.2934815047358 m,42.37907540975288 m,41.91451316568747 m,41.723326943681734 m,41.39913140326231 m,41.30189913442948 m,41.57048720354309 m,41.55660811713218 m,41.62019245744353 m,40.89456474201303 m,40.215193787430195 m,39.97559930685256 m,40.514342631224864 m,40.479696747400794 m
41.998890082580786 m,42.04265665755596 m,42.450858024944544 m,42.696867650271614 m,42.77695429711429 m,42.93997498106677 m,42.72122318327922 m,42.94168047828547 m,43.13389698588067 m,43.218648990576206 m,43.1747583692889 m,42.70780566272143 m,42.55040853831126 m,42.3608116666739 m,42.5236141790201 m,42.48554258222055 m,42.61191915777864 m,42.45663789278787 m,42.41318597841355 m,42.28595051076878 m,42.654759958363464 m,42.61709880376215 m,42.91189868042338 m,43.076638288120535 m,42.98406448023998 m,42.88783026218094 m,42.81169890658601 m,42.9278361376181 m,42.95683271118965 m,42.48235164676376 m,42.16635013093718 m,41.74914581647677 m,41.80788183880715 m,42.22257344020997 m,43.07691416634424 m,42.966277454464134 m,43.43993309588116 m,43.873852350856325 m,43.77018895125274 m,43.92611602749703 m,43.73039001064461 m,43.4626051372278 m,43.30097020623074 m,43.43464777439488 m,43.29476538581929 m,43.014562137572774 m,43.22306851229362 m,43.191547703648425 m,43.06865121883506 m,42.98567138487779 m,42.89957563959643 m,43.117493382277246 m,43.31477103669031 m,43.726080398904415 m,43.77529200697843 m,43.39433549238666 m,42.77644459405705 m,43.05783727779633 m,42.49794780972657 m,42.58707450338782 m,42.30724207093383 m,42.24457032535949 m,42.53377524385357 m,41.99787753076194 m,42.377545703049336 m,42.51742872676958 m,41.597018904617855 m,41.17819037683216 m,41.600295774125605 m,41.81413269471496 m
43.332942233378105 m,43.59214900444123 m,43.44086244946818 m,43.81926973507137 m,43.870716434947944 m,43.88691149847161 m,43.4517488700162 m,43.81958374000315 m,44.00131912203979 m,44.177613654803956 m,43.98663803870319 m,43.45264134726085 m,43.53240404204067 m,43.3080025942043 m,43.6260003371722 m,43.49980023820874 m,43.62002068895679 m,43.55156368997661 m,43.60753647861488 m,43.34304949542539 m,43.41293066847739 m,43.95980225932651 m,44.18880718067733 m,44.71516388078723 m,44.34036743684843 m,44.34013365628964 m,44.21427071355322 m,44.33231843650876 m,44.14160287732379 m,43.7587303894051 m,43.543079947080955 m,43.26081991150106 m,43.14443337589565 m,43.50214746469291 m,43.84925946838071 m,43.912328505339545 m,44.30250545723631 m,44.88690087621566 m,45.14551154718291 m,45.1205257488468 m,44.84414194184776 m,44.501343865161495 m,43.9695431429959 m,43.92403479213583 m,43.9957566609351 m,43.89601529107405 m,43.90518136691192 m,43.883905469617446 m,43.81440780146178 m,43.32894600473437 m,43.28477620021709 m,43.49111630489378 m,44.131147481266815 m,44.398398436280445 m,44.67907820215716 m,44.27872603926117 m,43.79706215502702 m,43.53162837266967 m,43.12700064424817 m,43.13337762691564 m,43.01214361191427 m,43.08481113616981 m,43.54152785091745 m,43.28474317789643 m,43.065759809215116 m,43.084725587473955 m,42.85564536676577 m,42.72454579776937 m,42.999964994502875 m,42.668063660595664 m
44.19389564189723 m,44.73509375936712 m,44.921298890955136 m,44.97009521456983 m,44.71475545791943 m,44.778284272274924 m,44.500386103362345 m,44.876108596990086 m,44.97957527359312 m,44.90542358175211 m,44.888862864908816 m,44.64934920442206 m,44.79917855158334 m,44.584173556324856 m,44.48535846604027 m,44.53351945560136 m,44.814565524870204 m,44.38597855730056 m,44.42369423901695 m,44.51513573139185 m,44.75333498429249 m,45.08383858042189 m,45.59019817403387 m,45.918723952961734 m,45.684977172096836 m,45.264829639323764 m,45.11870400610037 m,44.83847509190529 m,44.95692788234395 m,45.17864716722578 m,45.08950827371877 m,45.05018014663913 m,44.68078732649756 m,44.785932508003064 m,44.83914108844644 m,44.86345428123398 m,45.41228859402218 m,45.9279152076114 m,46.09642893956684 m,45.99138762794014 m,45.719092862713026 m,45.22820644020495 m,45.061591551684195 m,44.73402435244593 m,44.81231492079242 m,44.913668835492416 m,44.824244344925205 m,44.992095183548905 m,44.93390006120012 m,44.8201629125014 m,44.36385747826408 m,44.45775677855147 m,44.687752518220535 m,44.89393924680279 m,45.06318467430391 m,45.00986204624283 m,44.38265032326589 m,44.05324692672681 m,43.96552152150895 m,43.911489791912615 m,44.06457552898363 m,43.97651121209676 m,44.1612034827876 m,44.12527692613965 m,43.55117920950756 m,43.51968904824307 m,43.8582025742293 m,43.893788810968495 m,43.9691126796549 m,43.93509327559441 m
45.247963499712554 m,45.76860339084848 m,45.90706805568614 m,46.02232670614028 m,45.397488798617815 m,45.12275846281127 m,45.50048831824687 m,45.751907153889846 m,45.84783144256963 m,45.99218767773395 m,46.064841435343915 m,45.73432440445559 m,45.656122722129446 m,45.67323258222551 m,45.459447643066014 m,45.56401670493293 m,45.468136950704306 m,45.48467037279111 m,45.27752036961162 m,45.48737886255516 m,46.18836608585957 m,45.97782354869542 m,46.604482440335644 m,46.902826261631404 m,46.52617981390621 m,46.493295149351404 m,45.92786060155595 m,45.969426406608235 m,45.98668966021759 m,46.31384770977321 m,46.28771178896561 m,46.27102894934665 m,45.946141532689396 m,45.89903390146984 m,46.2962125568045 m,46.17748524981869 m,46.418938382380574 m,46.68880378263479 m,46.828994280479336 m,46.690774142135865 m,46.5173576900972 m,46.16917729929099 m,45.914868540501445 m,46.00256301093644 m,45.96175187241555 m,46.003540143989134 m,46.0488935095293 m,46.11339407431988 m,45.67509518739408 m,45.63876319608192 m,45.25877038514476 m,45.384044819454736 m,45.38791166423744 m,45.566571568040004 m,45.9630986837958 m,45.74714992972252 m,45.24916246724125 m,44.856961868818644 m,44.70926709442705 m,44.63845494333396 m,44.86696673936939 m,44.71181381951999 m,45.107339520190735 m,44.83351283065652 m,44.45743697622798 m,44.53314733603688 m,45.139809274686556 m,44.774082376233025 m,44.969354884328325 m,45.01413681224514 m
